,VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description
33895,-4wsuPCjDBc,5,15,682611,clean,102,English,A squirrel is eating a peanut in it's shell.
6434,-7KMZQEsJW4,205,208,550906,clean,34,English,A man demonstrating how to clean a flower.
17696,-8y1Q0rA3n8,95,102,682611,clean,79,English,A man with a sword runs ands stabs a cardboard target.
35984,-9CUm-2cui8,39,44,682611,clean,70,English,A woman puts four okra in a pan of boiling water.
18020,-AwoiGR6c8M,10,14,280252,clean,31,English,A boy is playing a key-board.
20215,-Cv5LsqKUXc,17,25,649657,unverified,47,English,A man is slicing strawberry
7009,-DKuLXYoY3g,14,20,649657,unverified,55,English,A boy is playing
22345,-DRy7rBg0IQ,31,37,550906,clean,21,English,a girl swimming under water
8059,-FugkxLmGO4,5,16,550906,clean,52,English,A husky and her pup stare happily out of a cage.
39420,-Ms9tsWmhyU,80,95,215924,clean,29,English,A flute is played.
33593,-YI0cxuNcq8,262,272,550906,clean,251,English,A woman demonstrating abdominal exercises.
23194,-_aaMGK6GGw,57,61,760882,clean,21,English,A man grabs a boy.
378,-_hbPLsZvvo,323,328,651813,clean,9,English,A man is arranging sushi.
24305,-bjOB4zS0uE,100,105,550906,clean,52,English,A woman is stirring a substance in a wine glass.
26391,-dm-ds5rRaM,44,52,550906,clean,777,English,Ussain Bolt winning a race.
24924,-joBOHlg5J0,72,80,550906,clean,25,English,A woman powders her face.
32875,-mAoVOhKy0c,4,9,682611,clean,112,English,A yellow train is driving on an track on a bridge.
33515,-pUwIypksfE,13,23,682611,clean,99,English,A panda climbs up a three-tiered cake and another panda is sitting and looking at the cake.
13404,-rkErLY0rRc,26,35,682611,clean,73,English,A woman is pruning flowers on a bush.
2874,-rvjK0lE3z4,33,43,682611,clean,76,English,Someone cuts a potato into cube-size pieces with a knife.
36851,-s4-6QTT7HE,235,241,682611,clean,100,English,A man is dancing among a group of women dancers in costumes.
11100,-t-ZWaJeH-o,0,15,550906,clean,42,English,Two women singing in a recording studio.
11200,-uT_1VDvXok,8,15,682611,clean,58,English,A baby rhino is walking behind an adult rhino.
3396,-vKO3uSG6Do,3,14,682611,clean,69,English,Three animated women are synchronized dancing.
21852,-vg3vR86fu0,1,6,550906,clean,47,English,A boy rides a bike.
2642,-wa0umYJVGg,168,176,617730,clean,77,English,A woman is adding green leaves to a pot of boiling water.
31890,-zOrV-5vh1A,69,76,682611,clean,90,English,Possibly thousands of various sized colored balls are bouncing down a street.
4788,00jrXRMlZOY,0,10,155632,clean,19,English,A frog is being stroked.
35087,02Z-kuB3IaM,2,13,682611,clean,60,English,A black boar is running in the woods.
51,04Gt01vatkk,248,265,550906,clean,33,English,A woman cuts an oion.
32393,05Gtb7_9tLU,0,9,682611,clean,92,English,Several animal drawn covered carts are going down the street.
21355,05gNigkqfNU,24,32,550906,clean,34,English,a person cutting a potato
43012,06CbMa0kDr8,3,13,682611,clean,89,English,Someone is feeding a red panda cub out of the palm of his hand.
27869,08pVpBq706k,175,212,550906,clean,26,English,a cat get his head stuck in a bag
35554,0GXq1An3yHI,22,35,550906,clean,50,English,A woman chops up curd.
36105,0I4VKj4d0WI,24,40,550906,unverified,36,English,A man is blowing bubbles
46925,0IDJG0q9j_k,1,24,617730,clean,24,English,A cyclist pedals around a track.
46417,0M-PyX2DbZc,25,31,682611,clean,52,English,A man in a construction hat is dancing while two other seated men watch.
5532,0NPtAv3_uVI,46,54,682611,clean,82,English,"A woman, wearing a life jacket, is skiing on a lake."
14643,0ONJfp95yoE,1,10,682611,clean,75,English,A cat is standing on it's back paws and appears to be boxing with it's front paws.
19581,0RWJEOScToE,414,421,159786,clean,930,English,A man is rinsing a large steak.
35669,0SMOK2ql7Pg,5,12,550906,clean,40,English,A cat scratches a board in the sink.
28272,0bSz70pYAP0,5,15,135621,clean,217,English,An airplane is flying in a wide circular pattern.
4830,0hyZ__3YhZc,485,490,682611,clean,60,English,Someone is stirring chili in a kettle.
47132,0k1Ak8aTMVI,4,12,550906,clean,36,English,A cat hops over a gate.
1975,0lh_UWF9ZP4,50,60,682611,clean,86,English,A woman is adding and stirring in three different ingredients into a bowl of cooked white rice.
14287,0piwbTivpDg,10,40,550906,clean,38,English,A man explaining how to do his hair.
15912,0sUL0KCIc48,15,25,682611,clean,126,English,A dog is moving through very deep snow by leaping forward and sinking repeatedly.
13820,0vmoZEaN_-o,5,21,682611,clean,62,English,A cat is playing with a large watermelon.
45711,0wutCy2ZGOQ,4,10,682611,clean,41,English,Several boys are playing football in a fenced in area.
27741,0xx13BuvVmo,25,36,230966,unverified,85,English,a littel boy is taking bathing
25271,11xs9mFKObs,0,8,682611,clean,69,English,A penguin is carrying a stuffed penguin backpack and walking down a street.
3204,16iNk1hLJt4,37,40,682611,clean,196,English,Six young runners are lined up at the starting line of a racetrack waiting for a man to tell them to start.
41382,1Dty_eGY9Ec,123,133,550906,clean,30,English,A man getting face painted by a woman artist
16973,1N_Ic2pBM1o,2,23,682611,clean,57,English,A woman is playing a guitar and singing.
42121,1QVn0FffExM,14,24,878566,clean,21,English,A lion is licking his chops.
33924,1RchFBCT9JU,43,53,682611,clean,128,English,A hedgehog is eating small round yellowish pieces of something off a wooden floor.
46455,1Sp2__RCT0c,11,15,682611,clean,60,English,A rocket in the sky is hit by lightening and explodes.
30761,1TjqADyYyxI,36,45,550906,clean,25,English,a man falling out off a bike
31093,1_6V30igzIk,5,15,682611,clean,109,English,A small animal on a towel turns around and heads toward someone's hand.
9179,1dA1RQgPN3c,72,82,682611,clean,94,English,A woman draws the face of a ghost on a sheet.
42745,1dYpcVv6n3Y,0,18,682611,clean,182,English,"A diapered baby is standing holding onto a coffee table and dancing, trying to mimic the three women he is watching dance on television."
14240,1dfR0A_BXjw,545,560,159786,clean,1761,English,A chef butters some bread.
47741,1hPxGmTGarM,9,19,682611,clean,85,English,A cat in a cage is angrily meowing at something.
33395,1kYWws89W3Y,0,5,682611,clean,50,English,A cat appears to walk up a wall from floor to ceiling.
8605,1mIyMRPV8kg,9,17,682611,clean,89,English,"A man is playing basketball with a large black dog, and the dog dribbles the ball and makes a basket."
21020,1pw5ZdRhiig,50,59,760882,clean,22,English,A man is playing a flute.
12815,1qU-kF-km1Q,6,16,550906,clean,55,English,A man talks about his puppy.
47080,1qV4wfjTYIo,151,164,550906,clean,39,English,A cat retrieves an object out of a dish of water.
47837,1qxMJLkHDLw,0,9,682611,clean,75,English,One man is beating another man tied to a pole with a strap.
4890,1rECrfrdNTo,200,207,807872,clean,21,English,A woman add some egg yolk to some stir fry.
18193,1sffYOXq4Iw,23,49,550906,clean,29,English,a person cutting a potatoes
27395,21uB8g-jDZI,70,79,550906,clean,37,English,A man rides a mini scooter.
45651,229NvV0SRHw,0,5,550906,clean,42,English,A baby is drinking at the table.
30910,25NmudB2fqg,0,7,550906,clean,52,English,Apollo Creed slugs Rocky.
9207,27hs9W89FuI,0,10,682611,clean,64,English,Two teams are playing soccer and the blue team makes three goals.
18400,27mxaePkYB4,8,14,682611,clean,85,English,An adult giraffe leans over a fence and nuzzles a baby giraffe.
11335,2F9jX7u5nOg,83,97,280252,clean,30,English,A woman is riding on a horse.
48070,2FLsMPsywRc,45,63,326919,unverified,151,English,A fish is being fried in a pan.
6395,2G9fkvBzzQE,10,20,682611,clean,107,English,A woman is holding a microphone and a bird is talking into it while three contestants laugh.
31669,2HpZvL-_fiY,40,44,550906,clean,28,English,Models dancing in living room
35152,2I20ZTFHheg,96,104,760882,clean,44,English,A person cuts a sock.
31459,2KrdBUFeFtY,22,27,682611,clean,44,English,Someone is shuffling a deck of playing cards.
19412,2L4oELbX8Ms,1,12,682611,clean,60,English,A woman is speaking in sign language.
33139,2LgrGHWSy6k,122,135,550906,clean,30,English,A woman drinking alcohol from a bottle.
44520,2MCpA01Sn_c,75,82,550906,clean,23,English,a dear hopping a fence
32596,2Nn2CAeaI5k,72,77,252681,clean,158,English,Four children are running through a parking lot.
12656,2R_OAYQIkXM,14,22,550906,clean,25,English,A woman picks up a baby kangaroo.
7635,2YhDTpzxd3c,149,154,760882,clean,15,English,A woman feeds a man food.
22154,2jXxtQRy47A,30,38,411294,clean,24,English,The wolves and bear are chasing each other.
26612,2jkExrrm_sQ,19,25,550906,clean,34,English,A dog swims with a shark.
12735,2mUMTFnQWaw,1,9,135141,clean,159,English,A boy is riding a horse.
30539,2xpIT0L4GqE,1,10,992484,unverified,66,English,A man gets sprinkled with purple water.
2817,30GeJHYoerk,80,85,682611,clean,73,English,A young woman is roller skating around small orange cones.
29769,30PpKtVT8Z4,35,50,252681,clean,46,English,A man is singing and playing the guitar.
2229,32_A0-er4Ws,16,20,550906,clean,36,English,a  woman picking a tomatoes
1913,39Ce7I6nXIw,96,104,550906,clean,939,English,A man walks his horse.
9074,3FnUTQMJVXI,31,36,682611,clean,79,English,"A kitten, next to a mirror, is playing with a tennis shoe on the floor."
22959,3I9tSDU-OSk,17,22,550906,clean,37,English,A toddler is flapping it's arms on a chair.
32738,3OPQqH3YlHA,50,54,550906,clean,44,English,A woman peels a potato.
1455,3SKyc0aKx70,46,52,550906,clean,33,English,A boy does flips on a trampoline.
16787,3_51FhosiVY,93,101,651813,clean,13,English,A man is on a bed talking on the phone.
26665,3chNlP5TeO8,0,10,760882,clean,48,English,A plane shoots out of water.
32552,3doK4FQM5-k,46,57,550906,clean,48,English,a man filing up a pot of water
17545,3eqFFRSXwGE,84,96,772960,clean,212,English,A brown dog sitting halfway on top of a black dog in a room pins him to the floor.
21718,3ftaoFnhTyY,140,150,682611,clean,69,English,Someone is steering a car and is driving down roads making turns.
24741,3lBHYoI5V8s,30,45,550906,clean,56,English,cutting a food in half
30872,3mbBbFH9fAg,21,29,922727,clean,32,English,A group of men is smiling.
38648,3n_Kqak2JdA,48,71,550906,clean,46,English,A man sells goods in store.
47688,3opDcpPxllE,50,66,252681,clean,22,English,A car drives backwards while trying to escape the police.
23144,3qqEKTPxLNs,1,15,550906,clean,55,English,A baby teethes on a pacifier.
3926,3ytUOoa1SBE,12,23,682611,clean,56,English,Many performers in costumes on stage are dancing.
33330,3zgEl-OLFKE,12,15,326919,unverified,29,English,A dog runs up stairs.
20517,3zrVqwV29V8,69,76,682611,clean,73,English,An older boy is seated at a table eating.
40530,4-1gpwkD7Hc,7,15,297776,clean,39,English,A group of turtles crawls across the sand.
8320,45AGQSbodbU,5,15,682611,clean,61,English,a small furry animal is biting on someone's finger.
3321,47D9-U8hn5I,11,16,682611,clean,122,English,"A cat, with socks on it's paws, slides with each step across a coffee table and eventually slides off the table."
38433,4D1o4FC8YbA,207,216,550906,clean,38,English,A woman dances in front of a fire.
26748,4Hhdr1IPOGs,90,98,760882,clean,15,English,A baby is sleeping on a couch.
16941,4JVpbYmqfcI,5,19,682611,clean,73,English,Someone is doing a card trick.
10533,4MjTb5A68VA,111,118,682611,clean,53,English,A woman is running in a field and flying a kite.
31718,4PayIIIOeIs,230,238,550906,clean,30,English,A man takes a shot at a target outside.
22432,4PcL6-mjRNk,47,55,550906,clean,182,English,A small dog carries a tennis ball.
14081,4QYPZM01xFE,14,26,682611,clean,54,English,Someone is peeling an onion with their fingers.
5169,4QdX5Q3qQsQ,6,14,682611,clean,93,English,A man lays his hand near his lip and appears to be thinking.
21416,4R-tumAGrtU,12,22,550906,clean,28,English,A woman is shooting a hand gun.
16673,4Tn5S48sCwg,110,118,682611,clean,147,English,A woman sitting on the ground rubs lotion onto a naked baby's legs who is lying on the woman's legs.
27279,4UOVKok7j1U,1,8,682611,clean,71,English,A young man is playing an acoustical guitar.
30430,4VLrxtf7Z_8,0,7,682611,clean,91,English,Someone riding a horse is jumping hurdles.
33230,4_WZN7uW0NY,140,145,682611,clean,72,English,Two women are sweeping the water out the door of a flooded room.
35889,4cgzdXlJksU,83,90,682611,clean,94,English,A girl cuts the tip off a plastic icing squeeze tube with scissors.
36962,4eJJF11bIxM,1,9,682611,clean,58,English,Two girls are talking back and forth on cell phones.
5847,4ge5_V-xhP0,138,142,215924,clean,53,English,A man gets grape juice out of the fridge.
36507,4ikH9ZRcF2Q,89,105,550906,clean,32,English,A squirrel is moving in circles.
37273,4kQnrKvOTNg,15,24,257003,clean,225,English,A puppy is walking down the staircase.
6476,4lXdVS697DQ,10,25,550906,clean,42,English,Two men sail on a boat.
4951,4s_0-zIWEog,1,15,550906,clean,77,English,"A boy eating cereal, while talking to a girl."
8286,4t5POXt2e68,5,11,760882,clean,33,English,A crying baby falls down.
39077,4wT7zM8XgXQ,5,11,550906,clean,70,English,A driver crashes out of a parking spot.
35860,4xVGpDmA4lE,23,33,682611,clean,159,English,"A man walking down the street singing is carrying suitcases on his head and a woman, with her arms around his neck, on his back."
46374,4yYapi-5QYQ,33,57,682611,clean,104,English,"Someone is doing a card trick, where the card changes each time he runs his hand across the deck."
27169,4yf2WP6K1gQ,28,32,550906,clean,33,English,A woman taking a bath.
16343,4z3b4mnw5y4,56,60,550906,clean,50,English,A man drills holes into a board.
32150,4zPSShqsq-o,3,16,550906,clean,24,English,A baby is smiling and laughing.
27549,5-8z5U-o4O4,0,3,760882,clean,19,English,Horses are racing.
12302,504gE1DA_4g,1,6,682611,clean,49,English,Someone is petting a rabbit on a bed.
6141,53dc4z7HLyg,25,29,682611,clean,148,English,"A dolphin is lying on top of a girl on a dock and moving, while someone else is doing something with it's mouth."
11731,57C93mpt6Xo,358,368,682611,clean,63,English,A woman is applying blush or powder to her face with a brush.
26197,5AEldiUP408,65,71,682611,clean,56,English,A man is running down a street in his underwear.
29546,5CS4nLI2ZX8,50,59,682611,clean,298,English,Two elephants appear to be pushing a convertible with a woman in the driver's seat and a man either sitting on the top of the backseat or standing on the passenger side in the front holding onto the windshield.
46048,5CU2JhYM8tY,14,45,550906,clean,133,English,A little girl imitates a dance video.
32294,5E66Gk3V1Bc,23,30,682611,clean,103,English,A monkey is swinging from limb to limb.
41219,5EXVeP6R3yc,105,108,682611,clean,76,English,A man emerges out of a puddle of muddy water.
36381,5HAf_INrFy0,3,25,550906,clean,82,English,A cat mimics a boxing match on television.
20693,5JLi7L1Kwp8,23,30,169605,clean,18,English,A cat is laying down.
38079,5JSbxHECb-I,97,110,550906,clean,34,English,Ingredients are shown being mixed.
2587,5K7Ru5s6YIw,8,11,550906,clean,39,English,A kangaroo nibbles on it's food.
37846,5L5MoemWC6g,10,13,411294,clean,21,English,The couple is kissing.
8777,5OuYhq6Zl0g,0,10,922727,clean,21,English,A group of girls are dancing.
28696,5OvgDatToBU,0,8,682611,clean,63,English,A white kitten is on a table lapping milk from a plate.
46801,5P6UU6m3cqk,57,75,550906,unverified,124,English,A baby is laughing in a high chair.
20894,5PpPOGU_0aA,65,75,159786,clean,1584,English,A couple are conversing in a gazebo.
27351,5QJf-l4lPJw,133,138,550906,clean,46,English,A woman is cracking an egg.
11704,5U3xz9Ovmhk,99,105,682611,clean,68,English,A man is finely chopping a green substance.
1749,5W02895vT8c,312,322,760882,clean,14,English,A plane is taking off.
4640,5XxshEdcfAM,85,100,169605,clean,32,English,A man is dancing.
36048,5YJaS2Eswg0,22,26,550906,clean,33,English,A girl is skipping rope.
27080,5dZ8PXABC30,14,20,760882,clean,81,English,People are being transported on stretchers.
37509,5dv8MSWlxoQ,10,40,550906,clean,25,English,a girl making her hair in a mirror
41254,5fDBl1wT2Lk,34,39,550906,clean,47,English,A big ball bounces over a nut.
41160,5fq9iIxxA1s,12,27,275759,clean,65,English,A boy is calling another to pass football.
47866,5l6acVf12S4,7,13,682611,clean,57,English,A white dog is running down the sidewalk.
18892,5x_OGEdO6Z8,0,21,550906,clean,32,English,A little girl is doing her hair.
22774,5zkCnHUnoYY,69,74,682611,clean,114,English,"A young woman, standing in front of louvered doors in her bra, is brushing her hair."
26037,60x_yxy7Sfw,1,7,682611,clean,89,English,A man is staring at a picture of a woman on his laptop computer screen.
18472,62I8I4sCPPQ,12,30,550906,clean,26,English,A man diving in a lake.
44227,64Xn9edeWRA,0,11,682611,clean,135,English,A cat sitting on the back edge of a couch jumps up and is rotated around a ceiling fan then tossed off.
28223,6BrHPMdyVtU,1,10,550906,clean,625,English,A boy playing a piano.
47545,6FmN22YcVVE,11,18,295615,clean,39,English,A female sits in a chair and plays an instrument.
17016,6GJ1DNOGDAM,223,233,682611,clean,96,English,A woman is brushing and straightening her hair with a straightening iron while talking.
13571,6JnGBs88sL0,4,10,297776,clean,29,English,A helicopter begins to land on top of a building.
12383,6KS8R3RxrV8,0,23,157374,clean,656,English,A dog is at waiting at the counter.
18158,6Lzq1HN33lE,5,15,760882,clean,16,English,A man plays a flute.
34316,6Q3ltyPJJMQ,67,72,550906,clean,29,English,Kevin Spacey bench pressing in a garage.
44066,6QbhfbLUtQs,13,23,252681,clean,26,English,A bucket of green slime is poured on top of a woman's head.
37571,6RlYLTU5gvM,18,24,651813,clean,60,English,A toy train is going around.
24097,6ZZkO14S7GY,5,15,651813,clean,31,English,A little girl is playing the flute.
9511,6ZhKOK08tgM,45,49,682611,clean,99,English,"Three young men run, jump, and kick off of a Coke machine."
248,6eokrw6_bjU,1,9,878566,clean,26,English,A woman is firing a rifle.
29331,6gQu8PWhFoQ,30,35,280252,clean,17,English,A biker is diving in the water with his bike.
45431,6mYnZbIwcNo,10,16,550906,unverified,64,English,A person typing on his or her lap top.
35636,6njscWrdnM0,8,18,682611,clean,140,English,"Each time a man karate kicks a mannequin he falls down, so he finally starts punching the mannequin with his fists until it falls."
1624,6owu8Mow0_g,302,307,760882,clean,13,English,A man puts cheese on a pizza.
4099,6pcqRuFEMLs,46,52,550906,clean,48,English,A boy climbs an obstacle course.
203,6q1dX6thX3E,286,295,651813,clean,35,English,A man is talking on the phone.
47951,6r5DmFa5ZR8,51,58,169605,clean,18,English,Animals are eating food.
4146,6sKdTbRkahM,6,12,682611,clean,64,English,A man cuts the top and bottom off a pineapple.
17894,6sYmDT5et00,301,339,548844,unverified,24,English,How to make Dinner rolls.
416,6t0BpjwYKco,217,229,682611,clean,61,English,A woman seasons both sides of a pork chop.
39990,6vC6AT27RUc,29,46,326919,unverified,77,English,A fox or dog wags its tail and smiles.
22932,6vSKIUGGLvY,81,87,682611,clean,142,English,A woman is lying on top of a man at the bow of a canoe while two other people are paddling with their hands.
30604,71soiLO6I9U,15,24,760882,clean,17,English,A hedgehog goes into its house.
4268,73vUksucPz8,12,20,550906,clean,35,English,A girl is playing a violin.
9243,74tRCYS_534,49,57,550906,clean,27,English,a man finding animals in the bushes
25034,778mkceE0UQ,40,46,682611,clean,63,English,A red car with two black stripes on the hood is being driven down the street.
5445,77iDIp40m9E,3,9,550906,clean,27,English,A puppy kicks dirt on it's mother.
41508,7EOqi_6rnkg,36,44,550906,clean,60,English,A man in a gorilla suit plays a bongo in a shopping center.
13478,7HcYJKMxpcg,20,28,651813,clean,19,English,A lion is walking around.
27816,7M-jsjLB20Y,11,30,215924,clean,49,English,A cat play with a hand.
2107,7NNg0_n-bS8,21,30,550906,clean,26,English,A man is singing and playing a guitar.
12903,7OGizkf_JEo,191,194,682611,clean,76,English,A circus performer walks across a tight rope.
25608,7ZE2OzguWHo,28,38,682611,clean,78,English,Three young men are synchronized dancing.
7713,7_XASfcYdBk,3,13,651813,clean,12,English,A man is playing guitar.
20577,7bcV-TL9mho,0,7,252681,clean,24,English,A group of puppies are going to investigate a cat at the end of a hallway.
34356,7d1d2WlEnKs,0,12,682611,clean,128,English,A kitten comes out of a cardboard box and runs into a paper tube.
37805,7s0AXJtLL0Y,57,61,772960,clean,1224,English,A black pet cat is walking in the house.
39635,7uF-2adCsI0,60,67,682611,clean,177,English,"A woman sits down, opens a can of soft drink, and takes a drink."
6523,7uOiiA4Kxbo,23,35,682611,clean,117,English,"A man, toting a white dog on his back, is riding down a street on his bicycle.."
24589,7xNG7qGY9rw,14,29,550906,clean,21,English,a chef mixing flour in a bowl
